Feature,Importance (MDI),Std,q25,q75,Language,partID,syllable,lang_profile,pc1,pc2,Stdx2
f0_creak,0.3076730137095127,0.13271980288241803,0.212300511607146,0.39751168639582496,spa,lic063,pen,l1_eng,5.379062679645154,0.5134924576725792,0.26543960576483605
vowel_periph,0.36052389382531513,0.15106912138940357,0.2613921401353967,0.4605271933843499,spa,lic063,pen,l1_eng,5.379062679645154,0.5134924576725792,0.30213824277880713
spec_dur,0.31140197667839176,0.11444273412918252,0.22645074690277253,0.3848332685222755,cat,lrs017,pen,l3_eng,-5.213138220340936,-0.5397006240670239,0.22888546825836503
f0_creak,0.3325523601315465,0.13382246796054956,0.2326008144613146,0.414060089248654,cat,lrs017,pen,l3_eng,-5.213138220340936,-0.5397006240670239,0.2676449359210991
vowel_periph,0.3560456631900617,0.14065919125721535,0.25502397767505813,0.44898514849397353,cat,lrs017,pen,l3_eng,-5.213138220340936,-0.5397006240670239,0.2813183825144307
spec_dur,0.3957263268636517,0.16009615370935884,0.2730706454750588,0.5279566998652989,eng,lrs017,pen,l3_eng,-5.213138220340936,-0.5397006240670239,0.3201923074187177
f0_creak,0.3110187615290951,0.14406678692512087,0.19523554133934967,0.41748687201985935,eng,lrs017,pen,l3_eng,-5.213138220340936,-0.5397006240670239,0.28813357385024174
vowel_periph,0.29325491160725314,0.116973321282112,0.21430554893703424,0.37323994820844963,eng,lrs017,pen,l3_eng,-5.213138220340936,-0.5397006240670239,0.233946642564224
spec_dur,0.3442842969915453,0.11582522256920857,0.27142321694304417,0.41467375890912694,spa,lrs017,pen,l3_eng,-5.213138220340936,-0.5397006240670239,0.23165044513841715
f0_creak,0.2528933980879336,0.11194736718490055,0.173043021833399,0.3325320156205638,spa,lrs017,pen,l3_eng,-5.213138220340936,-0.5397006240670239,0.2238947343698011
vowel_periph,0.4028223049205212,0.1280735765094142,0.3154231751206037,0.48953883520019853,spa,lrs017,pen,l3_eng,-5.213138220340936,-0.5397006240670239,0.2561471530188284
spec_dur,0.2856144192248454,0.1406917930287354,0.17662442435529896,0.389251565849093,cat,nie059,pen,l1_eng,4.275526926210081,0.5130526930164312,0.2813835860574708
f0_creak,0.3008397189251569,0.1540979081215018,0.16986218353436588,0.4046745153225041,cat,nie059,pen,l1_eng,4.275526926210081,0.5130526930164312,0.3081958162430036
vowel_periph,0.4135458618499979,0.20106715839122927,0.24457632815007202,0.574217256504224,cat,nie059,pen,l1_eng,4.275526926210081,0.5130526930164312,0.40213431678245853
spec_dur,0.5885288765663522,0.26381778652655913,0.3856158590854438,0.8484560647062539,eng,nie059,pen,l1_eng,4.275526926210081,0.5130526930164312,0.5276355730531183
f0_creak,0.26019187326371984,0.21215438369553907,0.06170871994318826,0.43773952084865364,eng,nie059,pen,l1_eng,4.275526926210081,0.5130526930164312,0.42430876739107815
vowel_periph,0.15127925016992788,0.13324313094735943,0.03792131723872047,0.24220063429205738,eng,nie059,pen,l1_eng,4.275526926210081,0.5130526930164312,0.26648626189471886
spec_dur,0.3136502980492832,0.14302454037675796,0.2087527314368998,0.4193785468070577,spa,nie059,pen,l1_eng,4.275526926210081,0.5130526930164312,0.2860490807535159
f0_creak,0.34686802794725174,0.13682845637483396,0.25397426455882194,0.4369661618286158,spa,nie059,pen,l1_eng,4.275526926210081,0.5130526930164312,0.2736569127496679
vowel_periph,0.3394816740034652,0.17312697681031564,0.1986924835898228,0.4782093337236727,spa,nie059,pen,l1_eng,4.275526926210081,0.5130526930164312,0.34625395362063127
spec_dur,0.43858488738560336,0.16940284895706625,0.3114380787331002,0.5772631141160138,eng,odm115,pen,mono,,,0.3388056979141325
