Filename	Label	seg_Start	seg_End	H1c_mean	H2c_mean	H4c_mean	A1c_mean	A2c_mean	A3c_mean	H2Kc_mean	H1H2c_mean	H2H4c_mean	H1A1c_mean	H1A2c_mean	H1A3c_mean	H42Kc_mean	H2KH5Kc_mean	CPP_mean	Energy_mean	HNR05_mean	HNR15_mean	HNR25_mean	HNR35_mean	SHR_mean	H1u_mean	H2u_mean	H4u_mean	A1u_mean	A2u_mean	A3u_mean	H2Ku_mean	H5Ku_mean	H1H2u_mean	H2H4u_mean	H1A1u_mean	H1A2u_mean	H1A3u_mean	H42Ku_mean	H2KH5Ku_mean	strF0_mean	sF0_mean	pF0_mean	shrF0_mean	oF0_mean	sF1_mean	sF2_mean	sF3_mean	sF4_mean	pF1_mean	pF2_mean	pF3_mean	pF4_mean	oF1_mean	oF2_mean	oF3_mean	oF4_mean	sB1_mean	sB2_mean	sB3_mean	sB4_mean	pB1_mean	pB2_mean	pB3_mean	pB4_mean	oB1_mean	oB2_mean	oB3_mean	oB4_mean	epoch_mean	soe_mean	
lrv099_catala_exp2_a.mat	"les"	21603.800	22113.800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42.468	201.226	175.733	0	747.575	1770.043	2992.176	4102.097	955.434	2638.199	4118.384	5069.050	0	0	0	0	467.998	609.415	551.705	520.920	813.483	1186.060	1154.987	1076.798	0	0	0	0	0.127	0.015	
lrv099_catala_exp2_a.mat	"va"	22113.800	22193.800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.060	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	203.674	200.361	203.510	0	511.821	1600.167	3007.447	3929.422	549.752	2444.900	3918.242	4922.272	0	0	0	0	144.995	450.546	252.102	332.509	251.771	1294.646	1036.866	1025.515	0	0	0	0	0.198	0.039	
lrv099_catala_exp2_a.mat	"incriminar"	22193.800	22643.800	18.766	4.551	-11.525	-17.616	-16.955	-11.483	-15.672	14.215	16.076	36.382	35.721	30.249	4.147	2.481	24.817	1.891	33.326	40.692	43.954	44.639	0.047	19.545	8.092	5.085	7.414	-4.122	-6.828	-9.196	-18.153	11.453	3.007	12.131	23.667	26.373	14.281	9.196	200.249	182.751	209.725	210.397	0	659.665	2114.923	2943.957	4025.191	475.861	2546.319	3895.130	4610.762	0	0	0	0	276.517	396.729	302.070	382.927	364.950	613.195	877.887	923.355	0	0	0	0	0.208	0.061	
lrv099_catala_exp2_a.mat	"confiat"	22643.800	23273.800	12.957	-0.830	-3.263	-15.826	-13.734	-13.176	-10.021	13.787	2.433	28.783	26.691	26.133	6.758	10.950	20.926	0.344	25.548	32.546	37.528	40.867	0.100	14.423	7.634	-1.690	6.779	-3.055	-16.896	-16.598	-20.971	6.789	9.324	7.644	17.478	31.319	14.909	7.764	187.765	139.229	195.389	189.139	0	526.464	1693.846	2989.536	4256.044	817.541	2465.391	3987.410	4846.941	0	0	0	0	186.763	349.314	404.724	471.152	571.910	1094.238	1181.903	730.570	0	0	0	0	0.176	0.032	
lrv099_catala_exp2_a.mat	"no"	25089.800	25239.800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	194.175	221.308	212.562	0	366.533	1957.003	3116.311	4369.119	582.567	2391.799	4000.947	4745.165	0	0	0	0	267.572	561.625	334.693	335.997	630.699	1127.143	596.208	509.053	0	0	0	0	0.192	0.068	
lrv099_catala_exp2_a.mat	"m'agrada"	25239.800	25609.800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	247.389	246.908	247.016	0	763.409	1530.856	3007.157	4065.270	715.740	1696.804	3381.708	4639.794	0	0	0	0	363.756	355.973	256.494	422.653	336.043	999.508	461.455	695.954	0	0	0	0	0.243	0.031	
lrv099_catala_exp2_a.mat	"el"	25609.800	25699.800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	229.863	234.750	231.285	0	563.160	1609.425	3129.511	4369.657	581.243	1614.239	3280.144	4738.950	0	0	0	0	196.825	270.417	166.509	473.378	180.865	879.517	395.582	446.034	0	0	0	0	0.231	0.037	
lrv099_catala_exp2_a.mat	"te"	25699.800	25859.800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	188.829	229.786	226.619	0	405.306	1776.433	3060.068	4426.487	586.285	2200.933	3553.520	4714.554	0	0	0	0	208.528	298.418	263.573	371.097	592.870	1058.726	947.350	499.400	0	0	0	0	0.217	0.024	
lrv099_catala_exp2_a.mat	"de"	25859.800	25939.800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	251.092	246.407	250.251	0	664.238	1828.315	2963.407	4407.388	659.341	2053.737	3228.741	4771.080	0	0	0	0	416.083	196.045	145.829	314.935	491.049	1640.294	1318.714	457.229	0	0	0	0	0.259	0.026	
lrv099_catala_exp2_a.mat	"camamilla"	25939.800	26589.800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	188.002	196.861	196.443	0	636.127	1904.275	2958.928	3884.390	595.526	2210.514	3644.352	4933.040	0	0	0	0	280.221	286.694	264.354	455.790	388.346	688.217	795.722	631.136	0	0	0	0	0.189	0.048	
