Filename	Label	seg_Start	seg_End	H1c_mean	H2c_mean	H4c_mean	A1c_mean	A2c_mean	A3c_mean	H1H2c_mean	H2H4c_mean	H1A1c_mean	H1A2c_mean	H1A3c_mean	CPP_mean	Energy_mean	HNR05_mean	HNR15_mean	HNR25_mean	HNR35_mean	SHR_mean	H1u_mean	H2u_mean	H4u_mean	A1u_mean	A2u_mean	A3u_mean	H1H2u_mean	H2H4u_mean	H1A1u_mean	H1A2u_mean	H1A3u_mean	strF0_mean	sF0_mean	pF0_mean	shrF0_mean	sF1_mean	sF2_mean	sF3_mean	sF4_mean	pF1_mean	pF2_mean	pF3_mean	pF4_mean	
afs116_catala_exp2_d.mat	"i"	84988.000	85128.000	10.823	13.344	11.705	-3.496	2.471	14.653	-2.521	1.638	14.319	8.352	-3.830	21.790	1.239	32.676	40.768	47.466	48.460	0.000	17.311	13.382	3.733	9.593	7.218	-12.332	3.928	9.650	7.718	10.093	29.643	208.952	104.226	104.209	207.549	286.250	1024.975	2795.914	4177.697	906.555	3214.095	4194.101	4351.451	
afs116_catala_exp2_d.mat	"a"	85268.000	85549.174	15.629	17.817	9.024	-9.123	0.003	1.849	-2.188	8.793	24.752	15.626	13.779	23.526	21.205	17.097	11.144	12.873	15.180	0.143	15.885	18.888	14.467	23.366	27.523	14.207	-3.003	4.421	-7.481	-11.638	1.677	119.630	216.467	230.585	234.683	944.556	1469.470	2560.023	3734.071	1129.356	1575.804	3389.139	4468.314	
afs116_catala_exp2_e.mat	"i"	4640.000	4810.000	14.079	16.393	10.424	4.545	6.055	34.887	-2.314	5.969	9.535	8.024	-20.808	25.582	5.708	11.422	18.486	24.351	23.065	0.690	15.066	21.038	17.594	24.607	17.801	10.122	-5.972	3.444	-9.541	-2.735	4.944	111.733	148.768	102.209	204.211	359.008	1000.999	2983.819	4265.242	713.356	2215.709	3190.155	4307.613	
afs116_catala_exp2_e.mat	"a"	4955.703	5262.107	10.841	17.579	9.655	-7.597	-7.835	0.395	-6.738	7.924	18.437	18.676	10.446	23.010	21.427	11.945	4.535	6.899	9.436	0.270	10.997	18.227	12.239	29.626	26.175	3.811	-7.230	5.988	-18.629	-15.178	7.186	121.813	242.888	231.301	237.094	1169.301	1549.719	3293.696	3892.157	1119.942	1496.317	3461.981	4462.096	
afs116_catala_exp2_e.mat	"i"	11821.433	11888.995	0	0	0	0	0	0	0	0	0	0	0	0	4.649	0	0	0	0	0.663	0	0	0	0	0	0	0	0	0	0	0	109.170	103.070	103.251	206.198	342.330	1010.611	2605.776	3472.012	832.382	1985.446	3420.639	4100.831	
afs116_catala_exp2_e.mat	"a"	11973.130	12157.544	10.299	17.662	8.803	-7.472	6.766	6.397	-7.363	8.859	17.771	3.533	3.902	24.941	29.150	15.048	8.092	8.613	10.096	0.298	10.665	19.222	15.510	21.741	30.716	27.039	-8.557	3.712	-11.076	-20.051	-16.373	116.514	224.605	221.455	222.423	649.397	1174.363	1648.177	3616.626	1053.474	1635.681	3420.742	4331.785	
afs116_catala_exp2_e.mat	"i"	19888.200	19974.592	16.165	13.429	10.904	-8.896	5.940	26.419	2.736	2.525	25.061	10.225	-10.253	20.319	2.763	8.117	15.453	19.739	20.263	0.009	17.587	20.872	10.767	7.570	13.991	1.247	-3.285	10.105	10.017	3.596	16.340	114.222	104.440	104.459	207.358	307.443	1024.209	3136.067	4316.012	786.917	2048.142	3533.632	4409.074	
afs116_catala_exp2_e.mat	"a"	20098.200	20332.270	8.091	16.043	2.474	-12.086	10.302	6.203	-7.952	13.570	20.177	-2.211	1.889	24.864	9.850	15.676	10.865	12.211	14.434	0.214	8.641	18.521	13.315	12.787	27.024	22.655	-9.880	5.206	-4.146	-18.383	-14.014	115.662	227.261	219.472	224.804	496.969	1232.808	1668.636	3576.552	1079.137	1615.863	3295.763	4405.761	
afs116_catala_exp2_e.mat	"i"	28826.700	28896.700	0	0	0	0	0	0	0	0	0	0	0	0	3.695	0	0	0	0	0.496	0	0	0	0	0	0	0	0	0	0	0	115.343	107.270	107.747	215.763	343.726	1042.626	2644.998	4334.733	853.565	2232.947	3970.729	4338.948	
afs116_catala_exp2_e.mat	"a"	28996.700	29171.280	16.123	18.036	4.354	-6.714	10.636	6.742	-1.913	13.682	22.837	5.487	9.380	25.199	22.459	12.110	7.777	9.579	12.341	0.254	16.523	19.729	13.011	20.079	30.644	25.619	-3.206	6.718	-3.556	-14.122	-9.096	115.858	108.803	174.654	214.425	626.403	1241.701	1790.456	3525.328	1037.165	1576.852	3219.755	4363.043	
