Filename	Label	seg_Start	seg_End	H1c_mean	H2c_mean	H4c_mean	A1c_mean	A2c_mean	A3c_mean	H1H2c_mean	H2H4c_mean	H1A1c_mean	H1A2c_mean	H1A3c_mean	CPP_mean	Energy_mean	HNR05_mean	HNR15_mean	HNR25_mean	HNR35_mean	SHR_mean	H1u_mean	H2u_mean	H4u_mean	A1u_mean	A2u_mean	A3u_mean	H1H2u_mean	H2H4u_mean	H1A1u_mean	H1A2u_mean	H1A3u_mean	strF0_mean	sF0_mean	pF0_mean	shrF0_mean	sF1_mean	sF2_mean	sF3_mean	sF4_mean	pF1_mean	pF2_mean	pF3_mean	pF4_mean	sB1_mean	sB2_mean	sB3_mean	sB4_mean	pB1_mean	pB2_mean	pB3_mean	pB4_mean	
ael236_english_exp2_b.mat	"ult"	15018.936	15129.447	4.665	7.366	2.663	-10.706	-0.984	-12.514	-2.701	4.703	15.371	5.649	17.179	21.662	0.917	3.368	7.706	14.414	20.344	0.256	5.170	9.951	5.869	10.928	9.101	8.484	-4.782	4.083	-5.758	-3.932	-3.315	75.274	0.000	44.952	128.400	376.555	1381.805	1563.674	3465.337	481.822	1428.704	1622.476	3422.722	165.113	393.162	195.502	165.007	288.670	265.850	289.216	152.693	
ael236_english_exp2_b.mat	"pen"	20988.956	21038.311	0	0	0	0	0	0	0	0	0	0	0	0	1.784	0	0	0	0	0.235	0	0	0	0	0	0	0	0	0	0	0	94.019	66.608	91.409	94.265	377.187	1683.013	2511.300	3621.070	411.786	1701.450	2550.283	3664.145	123.954	115.236	114.000	188.508	191.893	156.908	186.370	131.136	
ael236_english_exp2_b.mat	"ult"	21240.700	21361.262	7.812	13.883	2.569	-6.545	-10.118	-9.334	-6.071	11.313	14.357	17.929	17.145	18.663	3.914	11.558	7.987	10.345	13.627	0.229	7.965	14.505	5.270	22.835	12.376	5.192	-6.541	9.235	-14.871	-4.411	2.772	86.711	24.024	87.744	154.558	762.578	1473.857	2185.090	3393.406	761.121	1477.776	2189.557	3421.211	115.852	257.887	325.573	151.409	98.103	281.901	385.206	141.978	
ael236_english_exp2_b.mat	"pen"	27472.700	27543.813	0	0	0	0	0	0	0	0	0	0	0	0	2.643	0	0	0	0	0.270	0	0	0	0	0	0	0	0	0	0	0	83.812	0.000	0	163.834	427.408	1579.103	2593.290	3556.644	459.602	1586.086	2598.592	3563.203	74.985	59.893	73.588	61.390	89.220	61.779	91.833	54.557	
ael236_english_exp2_b.mat	"ult"	27604.970	27700.461	0	0	0	0	0	0	0	0	0	0	0	22.050	2.774	2.345	7.789	11.237	13.498	0.282	0	0	0	0	0	0	0	0	0	0	0	44.894	15.783	45.128	172.396	419.891	1592.787	3314.876	3711.214	511.406	1563.762	2224.612	3534.815	115.715	211.180	436.421	356.624	344.380	156.879	1308.914	237.958	
ael236_english_exp2_b.mat	"pen"	33581.606	33676.700	9.870	16.356	5.532	-7.001	-13.479	-7.195	-6.486	10.824	16.871	23.349	17.065	21.654	5.018	16.802	12.890	16.862	19.016	0.483	10.048	17.083	8.699	23.448	12.085	-0.951	-7.035	8.384	-13.400	-2.037	11.000	91.616	72.388	90.538	122.423	742.322	1238.182	2306.410	3535.420	742.471	1218.603	2292.619	3516.338	166.907	499.506	483.940	97.896	117.746	402.992	480.290	165.911	
ael236_english_exp2_b.mat	"ult"	33810.140	33891.682	0.150	-0.578	0.419	-12.201	-4.661	4.914	0.728	-0.997	12.351	4.811	-4.765	18.557	0.918	5.874	9.905	17.492	23.954	0.337	1.671	4.419	3.924	8.856	4.299	-15.453	-2.748	0.495	-7.185	-2.628	17.124	116.203	34.812	45.755	163.975	404.899	1489.526	3475.353	4000.250	487.040	1414.702	1597.863	3515.238	144.429	147.349	186.408	590.897	212.753	171.569	659.378	107.919	
ael236_english_exp2_b.mat	"pen"	40308.937	40380.823	0	0	0	0	0	0	0	0	0	0	0	0	1.948	0	0	0	0	0.264	0	0	0	0	0	0	0	0	0	0	0	44.750	25.039	43.771	142.726	499.067	1703.963	2601.160	3558.451	515.870	1707.589	2628.640	3571.051	221.861	227.560	194.469	170.215	255.969	282.756	224.670	132.499	
ael236_english_exp2_b.mat	"ult"	40612.700	40678.025	0	0	0	0	0	0	0	0	0	0	0	0	2.539	0	0	0	0	0.206	0	0	0	0	0	0	0	0	0	0	0	61.278	0.000	0	225.741	567.564	1318.077	1919.976	3466.215	603.040	1352.766	1941.619	3461.940	101.037	243.106	453.088	106.224	101.667	212.672	448.462	74.437	
ael236_english_exp2_b.mat	"pen"	48134.700	48209.608	0	0	0	0	0	0	0	0	0	0	0	18.128	1.075	6.374	12.454	16.576	18.661	0.269	0	0	0	0	0	0	0	0	0	0	0	135.208	0.000	0	160.874	439.726	1458.415	2531.080	3786.155	467.306	1464.377	2591.574	3669.741	114.860	132.709	175.946	288.184	297.014	204.037	245.281	397.278	
ael236_english_exp2_b.mat	"ult"	48310.464	48364.700	0	0	0	0	0	0	0	0	0	0	0	0	1.347	0	0	0	0	0.335	0	0	0	0	0	0	0	0	0	0	0	75.573	64.848	78.588	166.208	453.128	1622.630	2218.269	3239.739	581.152	1692.881	2343.355	3405.744	170.637	74.479	279.829	279.502	229.084	114.007	360.117	360.803	
ael236_english_exp2_b.mat	"pen"	54462.971	54527.346	0	0	0	0	0	0	0	0	0	0	0	0	1.061	0	0	0	0	0.285	0	0	0	0	0	0	0	0	0	0	0	97.337	77.082	100.839	142.197	432.215	1951.388	2613.445	3664.578	525.750	1897.650	2602.428	3586.806	393.736	375.947	221.683	298.113	341.644	616.423	303.113	534.035	
ael236_english_exp2_b.mat	"ult"	54738.713	54799.870	0	0	0	0	0	0	0	0	0	0	0	0	1.189	0	0	0	0	0.270	0	0	0	0	0	0	0	0	0	0	0	126.644	29.771	47.414	162.778	369.114	824.410	1591.997	3770.990	631.036	1164.182	2315.661	3633.885	174.762	126.180	279.647	404.957	465.033	299.310	882.535	739.453	
ael236_english_exp2_b.mat	"pen"	61651.484	61716.700	0	0	0	0	0	0	0	0	0	0	0	0	0.572	0	0	0	0	0.339	0	0	0	0	0	0	0	0	0	0	0	417.314	56.356	103.665	122.908	400.701	787.384	1711.407	3798.541	548.472	1001.850	2182.132	3636.655	98.604	66.337	191.978	295.123	768.438	232.578	512.339	688.224	
ael236_english_exp2_b.mat	"ult"	61856.700	61926.700	0	0	0	0	0	0	0	0	0	0	0	0	1.809	0	0	0	0	0.421	0	0	0	0	0	0	0	0	0	0	0	85.050	0.000	87.029	168.983	477.880	1591.031	1908.620	3391.575	504.235	1579.863	1893.068	3417.743	123.700	136.384	231.391	142.526	122.609	181.718	271.164	122.767	
ael236_english_exp2_b.mat	"pen"	68194.493	68298.700	7.549	12.874	1.855	-7.483	-14.392	-11.301	-5.325	11.018	15.033	21.942	18.850	18.616	3.298	12.425	9.726	15.551	18.793	0.471	7.724	13.585	4.946	22.886	11.009	-3.694	-5.861	8.639	-15.162	-3.285	11.418	90.511	92.585	61.868	138.674	746.335	1255.434	2242.377	3380.126	742.462	1215.485	2177.591	3363.823	94.313	348.328	439.415	152.435	78.914	307.652	460.381	311.905	
ael236_english_exp2_b.mat	"ult"	68476.674	68588.700	6.983	8.947	2.369	-7.620	-10.772	-7.593	-1.964	6.578	14.603	17.755	14.575	18.402	3.134	11.109	8.095	9.926	14.643	0.343	7.138	9.581	5.145	21.298	10.809	5.798	-2.443	4.436	-14.160	-3.671	1.340	88.658	0.000	77.536	123.799	749.822	1547.493	2227.872	3639.686	752.257	1541.864	2237.607	3316.465	90.161	195.826	228.511	450.513	76.086	195.166	223.902	662.541	
ael236_english_exp2_b.mat	"pen"	74793.206	74828.613	0	0	0	0	0	0	0	0	0	0	0	0	1.459	0	0	0	0	0.069	0	0	0	0	0	0	0	0	0	0	0	104.036	59.812	95.948	98.430	308.624	1771.330	2637.263	3531.670	412.603	1777.507	2640.099	3608.918	273.213	245.930	286.129	252.943	327.692	291.249	383.099	371.296	
ael236_english_exp2_b.mat	"ult"	74920.700	74974.531	0	0	0	0	0	0	0	0	0	0	0	0	1.624	0	0	0	0	0.400	0	0	0	0	0	0	0	0	0	0	0	84.302	62.642	83.720	167.289	495.504	1747.224	2327.983	3172.550	501.236	1734.124	2347.277	3236.241	109.591	88.171	114.391	273.515	101.033	112.051	147.415	324.843	
ael236_english_exp2_b.mat	"pen"	81087.251	81156.992	0	0	0	0	0	0	0	0	0	0	0	0	1.017	0	0	0	0	0.288	0	0	0	0	0	0	0	0	0	0	0	96.780	74.945	97.177	146.726	225.817	1464.649	2379.208	3488.522	297.510	1490.588	2412.424	3451.449	149.488	195.309	211.505	554.105	338.329	230.475	218.009	378.671	
ael236_english_exp2_b.mat	"ult"	81315.785	81434.700	5.947	11.443	3.159	-8.247	-15.374	-13.556	-5.496	8.284	14.194	21.322	19.503	14.779	1.670	6.238	6.421	10.473	16.245	0.237	6.081	11.987	5.526	19.897	4.401	-1.750	-5.906	6.461	-13.816	1.680	7.831	74.494	35.956	79.164	156.721	672.891	1555.549	2278.420	3579.141	683.042	1541.657	2247.526	3528.351	111.581	334.145	463.008	575.477	113.026	373.293	704.531	515.876	
ael236_english_exp2_b.mat	"pen"	87421.174	87469.456	0	0	0	0	0	0	0	0	0	0	0	0	3.263	0	0	0	0	0.085	0	0	0	0	0	0	0	0	0	0	0	91.629	91.598	91.167	91.928	392.078	1385.889	1640.428	3231.535	456.107	1438.544	1669.174	3250.618	89.634	281.238	224.513	150.946	169.790	200.006	314.408	105.497	
ael236_english_exp2_b.mat	"ult"	87630.395	87703.354	0	0	0	0	0	0	0	0	0	0	0	17.674	6.118	9.627	12.837	20.004	25.305	0.320	0	0	0	0	0	0	0	0	0	0	0	101.912	99.839	105.298	110.686	399.604	848.281	1627.933	3639.810	543.399	1018.234	1814.743	3197.531	110.076	89.935	112.943	358.417	361.560	233.504	277.102	365.422	
ael236_english_exp2_b.mat	"pen"	93160.736	93250.700	14.383	18.041	4.441	-7.642	-4.934	-4.628	-3.658	13.601	22.025	19.317	19.011	22.108	3.155	15.433	14.259	21.195	26.546	0.521	14.958	20.757	8.905	16.102	11.407	8.410	-5.799	11.852	-1.144	3.551	6.548	98.911	81.188	97.343	101.053	491.410	1179.269	1597.131	3456.038	539.897	1177.190	1596.719	3468.589	320.263	469.280	128.947	114.439	276.335	302.650	175.782	126.174	
ael236_english_exp2_b.mat	"ult"	93303.436	93410.700	9.404	14.416	4.017	-8.124	-6.846	-6.962	-5.012	10.398	17.528	16.250	16.365	19.481	2.084	12.096	14.708	16.577	19.125	0.400	9.750	15.974	8.365	16.518	7.392	-0.998	-6.224	7.609	-6.768	2.358	10.748	89.342	57.003	89.814	110.137	548.561	1568.367	2304.613	3485.922	545.094	1567.641	2336.383	3358.182	134.341	167.451	318.082	322.767	138.211	204.048	385.431	317.845	
ael236_english_exp2_b.mat	"pen"	99678.130	99754.308	0	0	0	0	0	0	0	0	0	0	0	18.771	2.491	7.387	12.409	17.014	20.716	0.138	0	0	0	0	0	0	0	0	0	0	0	94.737	76.226	94.579	104.161	484.653	1400.556	2417.249	3717.738	503.217	1408.339	2410.772	3629.552	153.465	103.719	294.682	277.977	118.208	92.239	341.860	271.520	
ael236_english_exp2_b.mat	"ult"	99819.756	99964.700	7.770	10.111	2.968	-9.511	-13.173	-2.647	-2.341	7.143	17.281	20.943	10.417	18.342	1.101	13.378	18.035	24.894	29.491	0.234	8.144	11.690	11.596	14.776	3.924	-11.356	-3.546	0.094	-6.632	4.221	19.500	81.090	37.785	81.360	153.974	453.012	1032.086	2333.469	3722.936	494.970	1025.965	2339.082	3720.088	157.219	262.811	199.174	227.822	155.219	238.944	215.385	133.907	
