Filename	Label	seg_Start	seg_End	H1c_mean	H2c_mean	H4c_mean	A1c_mean	A2c_mean	A3c_mean	H2Kc_mean	H1H2c_mean	H2H4c_mean	H1A1c_mean	H1A2c_mean	H1A3c_mean	H42Kc_mean	H2KH5Kc_mean	CPP_mean	Energy_mean	HNR05_mean	HNR15_mean	HNR25_mean	HNR35_mean	SHR_mean	H1u_mean	H2u_mean	H4u_mean	A1u_mean	A2u_mean	A3u_mean	H2Ku_mean	H5Ku_mean	H1H2u_mean	H2H4u_mean	H1A1u_mean	H1A2u_mean	H1A3u_mean	H42Ku_mean	H2KH5Ku_mean	strF0_mean	sF0_mean	pF0_mean	shrF0_mean	oF0_mean	sF1_mean	sF2_mean	sF3_mean	sF4_mean	pF1_mean	pF2_mean	pF3_mean	pF4_mean	oF1_mean	oF2_mean	oF3_mean	oF4_mean	sB1_mean	sB2_mean	sB3_mean	sB4_mean	pB1_mean	pB2_mean	pB3_mean	pB4_mean	oB1_mean	oB2_mean	oB3_mean	oB4_mean	epoch_mean	
lrv099_catala_exp2_a.mat	"i"	90967.800	91027.800	19.974	1.422	-20.991	-24.663	-19.052	-9.789	-17.652	18.552	22.413	44.637	39.025	29.762	-3.339	5.016	26.674	1.678	28.055	35.551	40.586	42.154	0.000	20.612	4.228	1.508	1.438	-5.602	-1.705	-12.399	-22.668	16.384	2.721	19.174	26.214	22.317	13.907	9.909	201.377	201.250	202.401	203.245	0	798.336	2303.856	3093.281	3876.915	359.881	2735.411	3508.977	4463.998	0	0	0	0	368.435	173.771	132.836	281.359	603.686	714.654	843.768	1527.149	0	0	0	0	0.213	
lrv099_catala_exp2_a.mat	"a"	91051.339	91127.800	16.221	4.361	-14.801	-17.372	-18.624	-6.098	-15.996	11.860	19.162	33.593	34.845	22.319	1.195	1.808	27.747	1.004	40.169	45.592	48.022	48.807	0.000	16.881	7.259	8.756	8.757	-2.390	-5.387	-4.705	-17.804	9.622	-1.497	8.124	19.271	22.269	13.461	13.561	196.596	195.810	196.214	196.687	0	784.986	1843.525	3105.274	4260.518	764.549	1968.390	3686.049	4928.765	0	0	0	0	428.983	374.474	645.231	440.141	619.520	1683.971	574.042	536.402	0	0	0	0	0.192	
lrv099_catala_exp2_a.mat	"i"	96025.137	96065.747	21.962	2.828	-19.156	-25.079	-17.996	-17.744	-17.073	19.134	21.984	47.041	39.959	39.707	-2.083	-1.262	23.336	2.610	26.333	35.717	39.960	39.869	0.000	22.645	5.870	0.021	0.246	-7.170	-6.312	-14.307	-15.810	16.775	5.850	22.400	29.815	28.957	14.327	1.504	203.105	203.292	204.044	203.620	0	771.910	2484.981	3080.298	4059.621	315.934	2754.067	3711.411	4973.642	0	0	0	0	284.872	204.483	205.997	356.797	275.594	333.461	806.177	771.890	0	0	0	0	0.214	
lrv099_catala_exp2_a.mat	"a"	96096.352	96182.869	16.282	6.835	-6.752	-16.602	-17.311	-6.666	-22.623	9.446	13.587	32.883	33.592	22.948	15.871	-7.517	26.762	1.259	38.214	44.334	47.661	47.948	0.181	16.872	9.406	10.203	9.892	-1.278	-3.392	-8.122	-15.106	7.466	-0.797	6.980	18.150	20.264	18.325	7.641	191.742	190.464	192.459	192.063	0	831.139	1960.780	3124.930	4352.590	718.812	2144.168	3244.986	4765.917	0	0	0	0	203.107	159.580	111.770	590.338	409.563	1351.178	634.723	275.368	0	0	0	0	0.193	
lrv099_catala_exp2_a.mat	"i"	100243.442	100277.800	21.741	1.789	-14.331	-21.589	-16.250	-13.448	-16.964	19.952	16.119	43.330	37.991	35.189	2.633	5.161	25.379	2.638	30.335	41.172	44.617	44.384	0.000	22.543	5.453	-2.019	2.855	-6.854	-4.966	-14.267	-22.124	17.090	7.473	19.688	29.397	27.509	12.247	7.808	203.669	204.859	204.204	203.692	0	713.853	2413.307	3071.224	3991.212	327.674	2830.654	3449.457	4293.462	0	0	0	0	221.666	133.821	106.897	325.392	315.938	733.126	974.510	1447.094	0	0	0	0	0.194	
lrv099_catala_exp2_a.mat	"a"	100299.963	100367.800	19.316	4.619	-12.126	-17.058	-17.393	-5.274	-19.041	14.697	16.745	36.374	36.709	24.590	6.915	-1.735	27.123	1.753	43.595	48.654	51.054	50.719	0.000	20.047	7.874	8.432	8.721	-2.141	-3.537	-7.684	-17.306	12.173	-0.559	11.325	22.188	23.584	16.117	11.170	208.403	208.334	207.110	208.290	0	799.280	1918.102	3111.774	4350.248	650.454	2244.791	3577.236	4587.909	0	0	0	0	144.106	105.670	85.241	544.276	502.373	1381.059	625.886	398.126	0	0	0	0	0.203	
lrv099_catala_exp2_b.mat	"i"	2366.017	2410.000	21.995	3.207	-10.957	-17.557	-15.871	-15.855	-14.544	18.788	14.164	39.552	37.865	37.850	3.587	7.162	26.323	2.681	31.482	42.266	47.576	46.963	0.000	22.863	7.235	-1.879	6.422	-7.807	-6.497	-14.727	-21.706	15.628	9.115	16.441	30.670	29.360	12.847	7.061	202.735	202.596	203.568	203.620	0	688.011	2476.714	3069.883	3818.103	324.122	2821.042	3591.041	4259.417	0	0	0	0	162.164	141.469	173.567	302.635	233.990	398.080	1129.026	1457.177	0	0	0	0	0.200	
lrv099_catala_exp2_b.mat	"a"	2455.406	2537.977	14.811	4.454	-9.685	-16.653	-19.725	-9.367	-18.286	10.357	14.139	31.464	34.536	24.178	8.601	1.766	26.782	0.790	31.086	38.791	43.833	45.579	0.000	15.404	7.035	9.576	9.682	-3.605	-7.529	-10.293	-20.052	8.369	-2.542	5.722	19.008	22.933	19.869	10.418	186.721	185.846	187.958	187.093	0	795.555	1888.984	3115.944	4483.537	710.383	1944.297	3262.051	4669.850	0	0	0	0	153.921	147.275	165.527	578.861	286.435	880.632	431.487	252.595	0	0	0	0	0.179	
lrv099_catala_exp2_b.mat	"i"	6885.698	6929.762	21.437	5.176	-13.724	-22.016	-19.848	-14.388	-17.176	16.261	18.900	43.453	41.285	35.825	3.452	1.688	25.095	2.539	33.843	40.649	43.441	43.997	0.000	22.183	8.518	3.492	3.373	-7.055	-6.542	-12.944	-18.864	13.665	5.025	18.810	29.238	28.725	16.437	5.270	206.411	206.532	207.425	206.028	0	760.560	2259.574	3008.889	3838.998	410.697	2668.200	3702.268	4508.625	0	0	0	0	239.185	276.062	230.327	284.359	335.403	629.005	1072.308	1743.486	0	0	0	0	0.200	
lrv099_catala_exp2_b.mat	"a"	6968.394	7031.774	18.091	6.673	-12.845	-17.539	-18.018	-12.631	-22.733	11.418	19.517	35.630	36.110	30.722	9.888	-6.951	25.325	1.375	31.244	36.215	38.948	39.447	0.000	18.744	9.546	7.930	8.483	-2.655	-8.462	-5.154	-15.781	9.198	1.616	10.261	21.399	27.207	13.085	11.212	196.189	194.762	196.241	195.497	0	790.367	1946.878	2998.785	4451.209	650.515	2213.434	3435.570	4903.070	0	0	0	0	291.853	199.476	358.775	600.830	410.631	1464.373	1012.268	490.035	0	0	0	0	0.200	
