Filename	Label	seg_Start	seg_End	H1c_mean	H2c_mean	H4c_mean	A1c_mean	A2c_mean	A3c_mean	H1H2c_mean	H2H4c_mean	H1A1c_mean	H1A2c_mean	H1A3c_mean	CPP_mean	Energy_mean	HNR05_mean	HNR15_mean	HNR25_mean	HNR35_mean	SHR_mean	H1u_mean	H2u_mean	H4u_mean	A1u_mean	A2u_mean	A3u_mean	H1H2u_mean	H2H4u_mean	H1A1u_mean	H1A2u_mean	H1A3u_mean	strF0_mean	sF0_mean	pF0_mean	shrF0_mean	sF1_mean	sF2_mean	sF3_mean	sF4_mean	pF1_mean	pF2_mean	pF3_mean	pF4_mean	sB1_mean	sB2_mean	sB3_mean	sB4_mean	pB1_mean	pB2_mean	pB3_mean	pB4_mean	
lrv099_catala_exp2_a.mat	"a"	96096.352	96182.869	18.639	4.703	-13.257	-22.253	-18.944	-12.376	13.936	17.960	40.893	37.584	31.016	24.779	1.249	32.141	40.566	44.469	44.941	0.200	19.299	7.627	3.842	3.470	-5.648	-6.481	11.672	3.785	15.829	24.947	25.780	192.345	190.761	192.911	193.434	825.315	1963.593	3123.495	4345.984	639.955	1844.455	3163.014	4508.327	205.707	156.739	112.173	567.681	196.318	536.286	361.250	1090.540	
lrv099_catala_exp2_a.mat	"i"	100243.442	100277.800	0	0	0	0	0	0	0	0	0	0	0	0	2.604	0	0	0	0	0.000	0	0	0	0	0	0	0	0	0	0	0	203.854	204.796	203.955	203.620	212.367	2398.905	3065.109	3987.474	349.591	2515.579	3049.975	4057.385	42.266	145.956	115.796	322.164	294.242	709.975	484.344	333.272	
lrv099_catala_exp2_a.mat	"a"	100299.963	100367.800	12.762	14.189	24.914	12.334	5.165	13.756	-1.427	-10.725	0.428	7.598	-0.993	26.987	1.730	40.214	47.332	50.411	50.530	0.000	20.950	6.924	4.707	20.941	-4.548	-3.724	14.026	2.217	0.009	25.498	24.674	208.165	208.175	206.887	207.429	232.758	1923.749	3111.353	4339.355	550.628	1715.958	3135.547	4397.316	143.811	105.763	86.079	537.399	246.052	645.549	369.054	1167.559	
lrv099_catala_exp2_b.mat	"i"	2366.017	2410.000	0	0	0	0	0	0	0	0	0	0	0	0	2.687	0	0	0	0	0.000	0	0	0	0	0	0	0	0	0	0	0	203.220	202.794	203.777	203.620	689.521	2491.965	3125.574	3919.895	387.440	2650.595	3473.675	4284.603	168.743	156.011	172.899	302.336	374.208	318.621	351.794	1254.751	
lrv099_catala_exp2_b.mat	"a"	2455.406	2537.977	14.702	4.316	-11.139	-17.229	-20.627	-11.757	10.386	15.455	31.931	35.330	26.460	24.282	0.783	26.677	36.860	42.204	43.089	0.000	15.318	7.010	8.232	8.857	-5.294	-9.514	8.307	-1.222	6.460	20.612	24.832	187.354	185.989	188.432	188.340	792.570	1893.220	3116.131	4483.768	668.747	1868.078	3189.189	4448.989	158.405	146.748	164.203	562.728	187.661	552.435	313.143	1014.691	
lrv099_catala_exp2_b.mat	"i"	6885.698	6929.762	0	0	0	0	0	0	0	0	0	0	0	0	2.520	0	0	0	0	0.000	0	0	0	0	0	0	0	0	0	0	0	206.928	206.703	207.419	206.459	763.882	2201.779	2969.746	3810.383	408.217	1870.084	2868.191	3891.952	279.967	309.338	248.149	268.016	437.441	1733.338	845.458	438.906	
lrv099_catala_exp2_b.mat	"a"	6968.394	7031.774	0	0	0	0	0	0	0	0	0	0	0	23.193	1.371	29.651	36.305	39.812	40.370	0.000	0	0	0	0	0	0	0	0	0	0	0	196.876	194.983	196.587	196.855	794.920	1948.935	3001.195	4415.580	592.019	1774.928	3110.619	4247.834	288.818	205.709	345.602	576.335	239.420	622.812	818.330	1557.973	
lrv099_catala_exp2_b.mat	"i"	11245.000	11298.491	0	0	0	0	0	0	0	0	0	0	0	0	2.062	0	0	0	0	0.000	0	0	0	0	0	0	0	0	0	0	0	202.267	202.637	202.069	202.571	648.270	2287.109	2957.329	3751.589	412.276	1920.518	2674.194	3740.783	205.457	160.243	265.509	247.709	547.314	2407.991	748.282	487.632	
lrv099_catala_exp2_b.mat	"a"	11338.033	11405.000	0	0	0	0	0	0	0	0	0	0	0	24.767	0.810	31.157	40.773	44.842	45.013	0.000	0	0	0	0	0	0	0	0	0	0	0	196.637	195.774	196.521	196.437	871.716	1789.272	3098.197	4150.606	556.393	1547.982	3062.259	4145.003	330.565	266.482	167.856	410.200	320.377	436.094	444.097	734.426	
lrv099_catala_exp2_b.mat	"i"	24805.703	24833.000	0	0	0	0	0	0	0	0	0	0	0	0	2.513	0	0	0	0	0.000	0	0	0	0	0	0	0	0	0	0	0	206.371	205.097	207.476	206.590	798.095	2048.580	2930.797	3616.659	384.398	1827.703	2615.384	3550.648	353.445	166.966	290.793	192.204	342.013	1318.291	1257.230	392.694	
